rank;finalWorth;personName;age;country;city;source;industries;countryOfCitizenship;organization;selfMade;gender;lastName;firstName;title;birthYear;birthMonth;cpi_country;gdp_country_trillions;gross_tertiary_education_enrollment;gross_primary_education_enrollment_country;life_expectancy_country;tax_revenue_country_country;total_tax_rate_country;population_country;latitude_country;longitude_country
1;211000;Bernard Arnault & family;74;France;Paris;LVMH;Fashion & Retail;France;LVMH Moët Hennessy Louis Vuitton;FALSE;M;Arnault;Bernard;Chairman and CEO;1949;3;110,05;2.715518274Trillions;65,6;102,5;82,5;24,2;60,7;67059887;46,227638;2,213749
2;180000;Elon Musk;51;United States;Austin;Tesla, SpaceX;Automotive;United States;Tesla;TRUE;M;Musk;Elon;CEO;1971;6;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
3;114000;Jeff Bezos;59;United States;Medina;Amazon;Technology;United States;Amazon;TRUE;M;Bezos;Jeff;Chairman and Founder;1964;1;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
4;107000;Larry Ellison;78;United States;Lanai;Oracle;Technology;United States;Oracle;TRUE;M;Ellison;Larry;CTO and Founder;1944;8;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
5;106000;Warren Buffett;92;United States;Omaha;Berkshire Hathaway;Finance & Investments;United States;Berkshire Hathaway Inc. (Cl A);TRUE;M;Buffett;Warren;CEO;1930;8;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
6;104000;Bill Gates;67;United States;Medina;Microsoft;Technology;United States;Bill & Melinda Gates Foundation;TRUE;M;Gates;Bill;Cochair;1955;10;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
7;94500;Michael Bloomberg;81;United States;New York;Bloomberg LP;Media & Entertainment;United States;Bloomberg;TRUE;M;Bloomberg;Michael;CEO;1942;2;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
8;93000;Carlos Slim Helu & family;83;Mexico;Mexico City;Telecom;Telecom;Mexico;América Móvil;TRUE;M;Slim Helu;Carlos;Honorary Chairman;1940;1;141,54;1.258286717Trillions;40,2;105,8;75;13,1;55,1;126014024;23,634501;-102,552784
9;83400;Mukesh Ambani;65;India;Mumbai;Diversified;Diversified;India;Reliance Industries;FALSE;M;Ambani;Mukesh;Founder and Chairman;1957;4;180,44;2.611000000Trillions;28,1;113;69,4;11,2;49,7;1366417754;20,593684;78,96288
10;80700;Steve Ballmer;67;United States;Hunts Point;Microsoft;Technology;United States;Los Angeles Clippers;TRUE;M;Ballmer;Steve;Owner;1956;3;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
11;80500;Francoise Bettencourt Meyers & family;69;France;Paris;L'Oréal;Fashion & Retail;France;;FALSE;F;Bettencourt Meyers;Francoise;;1953;7;110,05;2.715518274Trillions;65,6;102,5;82,5;24,2;60,7;67059887;46,227638;2,213749
12;79200;Larry Page;50;United States;Palo Alto;Google;Technology;United States;Alphabet;TRUE;M;Page;Larry;Cofounder and board member;1973;3;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
13;77300;Amancio Ortega;87;Spain;La Coruna;Zara;Fashion & Retail;Spain;;TRUE;M;Ortega;Amancio;;1936;3;110,96;1.394116311Trillions;88,9;102,7;83,3;14,2;47;47076781;40,463667;-3,74922
14;76000;Sergey Brin;49;United States;Los Altos;Google;Technology;United States;Alphabet;TRUE;M;Brin;Sergey;Cofounder and board member;1973;8;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
15;68000;Zhong Shanshan;68;China;Hangzhou;Beverages, pharmaceuticals;Food & Beverage;China;;TRUE;M;Zhong;Shanshan;;1954;12;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
16;64400;Mark Zuckerberg;38;United States;Palo Alto;Facebook;Technology;United States;Meta Platforms;TRUE;M;Zuckerberg;Mark;Cofounder;1984;5;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
17;59000;Charles Koch & family;87;United States;Wichita;Koch Industries;Diversified;United States;Koch Industries, Inc.;FALSE;M;Koch;Charles;Chairman and CEO;1935;11;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
17;59000;Julia Koch & family;60;United States;New York;Koch Industries;Diversified;United States;;FALSE;F;Koch;Julia;;1962;4;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
19;58800;Jim Walton;74;United States;Bentonville;Walmart;Fashion & Retail;United States;Arvest Bank Group, Inc.;FALSE;M;Walton;Jim;Chairman and CEO;1948;6;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
20;57600;Rob Walton & family;78;United States;Bentonville;Walmart;Fashion & Retail;United States;Walmart;FALSE;M;Walton;Rob;Director;1944;10;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
21;56700;Alice Walton;73;United States;Fort Worth;Walmart;Fashion & Retail;United States;Crystal Bridges Museum of American Art;FALSE;F;Walton;Alice;Philanthropist;1949;10;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
22;54400;David Thomson & family;65;Canada;Toronto;Media;Media & Entertainment;Canada;Thomson Reuters Corporation;FALSE;M;Thomson;David;Chairman;1957;6;116,76;1.736425630Trillions;68,9;100,9;81,9;12,8;24,5;36991981;56,130366;-106,346771
23;50100;Michael Dell;58;United States;Austin;Dell Technologies;Technology;United States;Dell Inc.;TRUE;M;Dell;Michael;Chairman and CEO;1965;2;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
24;47200;Gautam Adani;60;India;Ahmedabad;Infrastructure, commodities;Diversified;India;;TRUE;M;Adani;Gautam;;1962;6;180,44;2.611000000Trillions;28,1;113;69,4;11,2;49,7;1366417754;20,593684;78,96288
25;45100;Phil Knight & family;85;United States;Hillsboro;Nike;Fashion & Retail;United States;Nike;TRUE;M;Knight;Phil;Chairman;1938;2;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
26;45000;Zhang Yiming;39;China;Beijing;TikTok;Technology;China;ByteDance;TRUE;M;Zhang;Yiming;Founder;1984;1;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
27;42900;Dieter Schwarz;83;Germany;Neckarsulm;Retail;Fashion & Retail;Germany;;FALSE;M;Schwarz;Dieter;;1939;9;112,85;3.845630031Trillions;70,2;104;80,9;11,5;48,8;83132799;51,165691;10,451526
